crop_name,soil_type,season,temp_min,temp_max,ph_min,ph_max,rainfall_min,rainfall_max,water_need,duration_days,humidity_min,humidity_max,altitude_min,altitude_max,fertilizer_n,fertilizer_p,fertilizer_k,yield_ton_per_ha,profit_usd_per_ha,difficulty_level,country,location_field
Lentil (Musuro),Silty,Monsoon,16,26,5.9,7.7,25,114,Low,120,54,71,0,2000,20,40,20,1.66,807,Easy,India,Punjab
Strawberry,Black,Monsoon,14,27,5.7,7.0,64,138,Medium,95,60,88,500,1500,100,50,100,12.54,5687,Hard,Nepal,Sunsari
Rice (Aus),Alluvial,Monsoon,21,36,5.2,7.3,120,212,High,122,62,90,0,500,120,60,60,3.63,732,Easy,Nepal,Dhankuta
Peas,Red,Summer,8,25,6.2,7.8,53,82,Medium,75,57,77,300,1200,60,30,40,6.92,1251,Medium,Nepal,Gulmi
Drumstick,Clay,Spring,25,38,5.8,7.4,45,115,Low,192,45,82,200,800,80,40,60,51.26,3202,Easy,India,Haryana
Barley,Loamy,Monsoon,10,26,6.3,7.3,49,79,Low,104,38,64,500,1500,80,40,40,2.16,453,Medium,India,Maharashtra
Coffee,Loamy,Spring,15,24,5.6,6.7,119,183,Medium,370,69,80,800,2000,120,60,100,1.35,2942,Hard,Nepal,Sindhupalchok
Maize (Irrigated),Peaty,Spring,22,36,5.7,6.7,33,93,High,114,65,80,200,1000,120,60,60,4.65,650,Medium,India,West Bengal
Cardamom,Black,Summer,14,31,4.9,6.4,155,280,High,374,75,96,800,2000,100,50,100,0.41,4653,Hard,Asia,Bangladesh
Rice (Aus),Clay,Summer,19,36,5.3,7.3,107,180,High,123,55,88,0,500,120,60,60,3.25,711,Easy,India,Maharashtra
Watermelon,Sandy,Spring,24,35,6.1,7.3,26,85,Medium,88,46,77,200,800,100,50,100,29.47,2897,Easy,India,Andhra Pradesh
Fennel,Sandy,Monsoon,11,28,6.3,7.8,15,60,Medium,141,42,69,300,1000,80,40,60,0.94,1171,Medium,Nepal,Dhankuta
Wheat (Winter),Alluvial,Winter,3,19,6.0,7.6,45,72,Medium,133,43,75,300,800,110,55,55,2.6,708,Medium,Nepal,Mustang
Beetroot,Alluvial,Spring,10,25,6.0,7.8,32,64,Medium,75,54,73,200,1000,100,50,80,21.0,1369,Medium,Nepal,Sindhupalchok
Carrot,Silty,Winter,11,24,6.3,7.4,22,77,Medium,87,56,82,200,1000,100,50,100,23.85,2035,Easy,India,Himachal Pradesh
Green Gram,Peaty,Winter,26,33,5.8,7.3,17,55,Low,71,45,75,200,800,40,20,25,0.87,495,Easy,Asia,Vietnam
Cashew,Sandy,Monsoon,27,36,5.7,7.7,51,139,Low,247,56,77,200,800,80,40,60,1.54,2159,Medium,Nepal,Dhankuta
Jackfruit,Alluvial,Monsoon,25,37,5.3,7.6,111,181,Medium,189,55,85,200,800,100,50,100,17.44,2425,Easy,India,Assam
Sunflower,Silty,Monsoon,22,34,6.3,7.4,34,88,Medium,106,45,65,300,1000,80,40,80,1.54,671,Medium,Nepal,Dhankuta
Little Millet,Clay,Autumn,22,34,5.5,7.2,33,81,Low,94,35,72,400,1500,60,30,30,1.12,241,Medium,Nepal,Kailali
Ginger,Loamy,Spring,22,33,5.3,6.5,138,311,High,270,74,95,300,1500,80,50,50,21.76,2252,Medium,Nepal,Bara
Potato,Laterite,Winter,16,23,4.9,6.6,62,117,Medium,72,64,81,500,2000,150,80,120,17.07,2405,Medium,Nepal,Morang
Rice (Boro),Silty,Monsoon,13,29,5.0,7.5,35,96,High,166,46,72,0,500,130,65,65,4.18,940,Medium,Asia,Indonesia
Sorghum (Jowar),Black,Autumn,24,41,6.2,7.8,40,62,Low,111,30,61,300,1000,80,40,40,1.76,373,Medium,Nepal,Sunsari
Buckwheat,Alluvial,Summer,15,25,5.8,7.3,65,139,Low,93,47,75,800,2500,60,30,30,1.17,303,Hard,India,Punjab
Sesame,Black,Summer,27,34,6.3,7.7,28,42,Low,85,37,65,200,800,60,30,30,0.79,518,Easy,Nepal,Mustang
Beetroot,Laterite,Summer,8,24,5.9,7.2,58,69,Medium,81,52,73,200,1000,100,50,80,15.9,1773,Medium,Nepal,Kaski
Barley,Silty,Spring,12,26,6.2,7.8,30,42,Low,93,41,62,500,1500,80,40,40,2.3,505,Medium,Nepal,Mustang
Rice (Basmati),Sandy,Monsoon,22,42,5.9,7.5,66,131,Medium,120,51,77,300,800,100,50,50,2.92,1300,Medium,Nepal,Jhapa
Ginger,Silty,Autumn,20,34,5.8,6.6,152,320,High,246,75,89,300,1500,80,50,50,19.1,1685,Medium,Nepal,Gulmi
Papaya,Red,Monsoon,21,37,6.3,7.3,78,144,Medium,279,63,89,200,800,150,80,150,32.95,3017,Easy,Nepal,Bara
Pear,Clay,Spring,9,23,6.0,7.0,98,156,Medium,111,55,74,1000,2500,100,50,100,11.71,2949,Hard,Asia,Sri Lanka
Broccoli,Black,Summer,14,24,6.0,7.0,78,138,High,74,61,83,300,1200,130,65,100,13.68,2344,Hard,Asia,Vietnam
Mustard,Sandy,Autumn,12,24,6.1,7.7,39,80,Low,110,51,68,0,2000,60,40,40,1.34,950,Easy,India,Tamil Nadu
Linseed,Silty,Winter,11,27,6.1,6.8,30,42,Low,128,42,68,300,1000,60,30,30,0.83,499,Medium,Nepal,Jhapa
Jute,Black,Spring,24,33,5.8,7.3,92,211,High,117,72,92,200,600,80,40,80,2.1,694,Medium,India,Punjab
Orange,Black,Monsoon,16,37,5.8,7.6,84,218,Medium,189,63,81,500,1500,120,60,100,13.56,3272,Medium,India,Himachal Pradesh
Sweet Potato,Alluvial,Spring,19,31,5.6,7.2,26,98,Low,125,58,79,300,1500,80,40,80,12.59,1507,Easy,India,Punjab
Buckwheat,Laterite,Spring,13,24,5.6,6.9,77,156,Low,89,49,80,800,2500,60,30,30,1.4,293,Hard,Nepal,Mustang
Ridge Gourd,Loamy,Winter,24,33,6.1,7.4,45,117,Medium,72,59,88,200,800,80,40,60,15.72,1283,Easy,India,Himachal Pradesh
Almond,Silty,Autumn,6,32,5.9,8.2,38,68,Low,177,36,69,500,2000,80,40,80,2.52,3445,Hard,Nepal,Ilam
Wheat (Spring),Clay,Winter,9,25,5.8,7.5,56,106,Medium,113,52,77,200,600,120,60,60,3.21,569,Medium,Nepal,Jhapa
Walnut,Red,Autumn,4,26,6.2,7.3,89,166,Medium,175,51,71,1500,3000,100,50,100,4.3,3429,Hard,Nepal,Sindhupalchok
Little Millet,Laterite,Spring,19,37,5.7,7.2,54,82,Low,81,37,73,400,1500,60,30,30,1.03,307,Medium,Asia,Bangladesh
Pear,Clay,Summer,12,27,6.3,7.3,80,166,Medium,114,57,70,1000,2500,100,50,100,13.09,2409,Hard,Nepal,Morang
Barnyard Millet,Loamy,Monsoon,21,36,5.8,7.3,43,113,Medium,71,55,80,300,1200,70,35,35,1.25,405,Easy,Nepal,Kaski
Fennel,Red,Summer,11,31,5.9,7.5,31,76,Medium,147,44,67,300,1000,80,40,60,0.98,930,Medium,Asia,Indonesia
Pineapple,Alluvial,Spring,19,30,4.3,6.2,84,136,Medium,183,66,81,200,800,120,60,120,23.62,3203,Medium,Nepal,Dhankuta
Areca Nut,Silty,Monsoon,21,34,5.4,7.6,147,255,High,367,71,90,200,800,150,80,150,2.21,2524,Medium,Nepal,Mustang
Maize (Rainfed),Alluvial,Spring,16,34,5.7,6.9,86,167,Medium,80,58,79,200,1000,100,50,50,2.02,543,Medium,Nepal,Sindhupalchok
Maize (Rainfed),Peaty,Autumn,20,37,5.6,6.8,91,149,Medium,100,51,80,200,1000,100,50,50,2.4,591,Medium,Nepal,Sunsari
Walnut,Black,Winter,6,23,6.1,7.3,63,136,Medium,170,55,69,1500,3000,100,50,100,5.05,3155,Hard,India,Andhra Pradesh
Pumpkin,Silty,Winter,18,33,6.1,7.8,36,84,Medium,103,46,80,200,800,80,40,80,28.52,2373,Easy,Nepal,Gulmi
Oats,Clay,Spring,10,27,5.7,6.8,69,117,Medium,109,56,81,500,1500,90,45,45,2.28,482,Medium,India,Tamil Nadu
Red Kidney Bean,Laterite,Autumn,15,27,5.8,7.2,73,112,Medium,119,65,84,500,1500,70,35,50,1.31,782,Hard,Nepal,Gulmi
Watermelon,Black,Summer,24,37,6.1,7.3,28,60,Medium,94,54,78,200,800,100,50,100,29.56,2691,Easy,Asia,Vietnam
Onion,Clay,Monsoon,12,27,6.0,7.6,53,100,Medium,118,64,79,200,800,100,50,80,21.38,2195,Medium,India,Assam
Chili,Silty,Winter,21,35,6.3,7.6,59,117,Medium,93,56,83,200,1000,100,50,80,9.13,2038,Medium,India,Himachal Pradesh
Watermelon,Silty,Autumn,26,33,5.8,7.7,36,66,Medium,100,45,79,200,800,100,50,100,34.45,2935,Easy,India,Himachal Pradesh
Fennel,Laterite,Autumn,8,31,6.2,7.8,20,70,Medium,148,41,68,300,1000,80,40,60,0.86,1064,Medium,Nepal,Mustang
Rice (Aman),Peaty,Monsoon,20,37,4.8,7.4,162,306,High,146,66,94,0,500,110,55,55,4.27,854,Easy,Nepal,Kaski
Finger Millet,Alluvial,Winter,16,29,5.6,7.6,80,102,Low,109,40,73,500,2000,70,35,35,1.36,413,Medium,Nepal,Kaski
Red Chili,Alluvial,Monsoon,22,34,6.3,7.5,76,103,Medium,121,50,78,300,1000,100,50,80,1.69,1876,Medium,Nepal,Kailali
Castor,Silty,Autumn,19,42,6.0,8.3,12,63,Low,187,33,62,200,800,80,40,40,1.47,660,Medium,Asia,Indonesia
Finger Millet,Red,Autumn,18,28,5.7,7.6,55,137,Low,109,42,80,500,2000,70,35,35,1.6,370,Medium,Asia,Indonesia
Chickpea,Black,Winter,17,26,5.8,7.7,15,60,Low,103,41,67,300,1000,60,30,40,1.68,640,Medium,Nepal,Jhapa
Barley,Loamy,Spring,8,24,6.1,7.3,46,61,Low,103,45,63,500,1500,80,40,40,2.41,503,Medium,India,Uttar Pradesh
Carrot,Red,Monsoon,11,25,5.9,7.8,42,93,Medium,90,63,78,200,1000,100,50,100,29.34,2101,Easy,Nepal,Dhankuta
Turmeric,Clay,Monsoon,22,28,4.7,7.4,139,265,High,214,75,87,0,1500,60,60,120,22.17,1241,Easy,Nepal,Bara
Groundnut,Red,Spring,21,37,5.7,7.5,46,78,Medium,110,50,70,200,800,60,30,60,1.35,712,Medium,India,Tamil Nadu
Buckwheat,Alluvial,Spring,17,23,5.5,7.0,64,131,Low,93,53,75,800,2500,60,30,30,1.4,334,Hard,Nepal,Dhankuta
Wheat (Winter),Red,Winter,4,19,6.2,7.7,43,85,Medium,138,41,75,300,800,110,55,55,2.61,756,Medium,Asia,Bangladesh
Bitter Gourd,Sandy,Autumn,24,37,6.2,7.4,44,112,Medium,89,63,82,200,800,100,50,80,14.31,1390,Medium,Nepal,Sunsari
Foxtail Millet,Laterite,Autumn,18,34,5.9,7.4,58,67,Low,72,38,63,300,1200,60,30,30,1.64,313,Easy,India,Haryana
Large Cardamom,Alluvial,Spring,8,25,4.3,6.7,131,336,High,313,83,100,1000,2000,40,40,60,0.71,2393,Hard,India,Maharashtra
Jackfruit,Peaty,Autumn,23,33,5.8,7.7,120,210,Medium,172,59,80,200,800,100,50,100,21.49,2967,Easy,India,Punjab
Rice (Aus),Clay,Summer,22,36,5.3,7.4,103,207,High,127,65,81,0,500,120,60,60,3.17,966,Easy,Nepal,Chitwan
Quinoa,Red,Winter,16,31,5.8,7.9,58,80,Low,122,47,70,1000,3000,70,35,35,1.43,367,Hard,Nepal,Morang
Barnyard Millet,Alluvial,Autumn,22,37,5.8,7.4,74,102,Medium,73,47,80,300,1200,70,35,35,1.23,392,Easy,India,Tamil Nadu
Kodo Millet,Black,Winter,22,36,5.2,7.3,53,101,Low,83,49,67,400,1500,60,30,30,1.51,303,Medium,India,Maharashtra
Fenugreek,Peaty,Summer,10,29,6.0,7.5,43,79,Medium,44,51,68,200,800,60,30,40,6.42,912,Easy,India,Assam
Pear,Black,Winter,9,27,6.0,6.7,83,155,Medium,127,55,70,1000,2500,100,50,100,10.17,2689,Hard,Asia,Indonesia
Rice (Marshi),Alluvial,Summer,15,31,5.8,7.2,139,269,High,155,65,99,1500,2500,100,50,50,3.62,928,Medium,India,Maharashtra
Tobacco,Black,Autumn,15,29,5.7,7.4,51,83,Medium,112,49,75,300,1000,120,60,120,1.71,2012,Hard,India,Andhra Pradesh
Rice (Jhum),Peaty,Summer,18,34,5.6,7.1,105,196,Medium,126,66,84,500,1500,80,40,40,2.35,573,Hard,Nepal,Sindhupalchok
Cotton,Alluvial,Winter,19,37,6.4,8.3,52,81,Low,183,35,62,200,600,100,50,100,2.82,1176,Medium,Nepal,Kaski
Papaya,Silty,Winter,24,36,6.1,7.5,76,148,Medium,274,61,88,200,800,150,80,150,45.93,3096,Easy,Nepal,Morang
Banana,Loamy,Winter,22,36,5.8,6.9,94,206,High,321,67,83,200,800,200,100,300,28.57,3680,Medium,Nepal,Chitwan
Safflower,Red,Monsoon,14,32,5.9,7.6,42,64,Low,128,42,62,300,1000,60,30,30,1.36,558,Medium,India,Himachal Pradesh
Maize (Irrigated),Loamy,Winter,18,35,5.3,7.1,44,97,High,105,55,88,200,1000,120,60,60,4.35,900,Medium,Asia,Vietnam
Coffee,Red,Summer,14,25,5.6,6.6,126,195,Medium,361,60,88,800,2000,120,60,100,1.42,2920,Hard,India,Assam
Red Chili,Laterite,Monsoon,21,34,5.8,7.7,47,136,Medium,130,54,78,300,1000,100,50,80,1.45,1566,Medium,Nepal,Ilam
Strawberry,Laterite,Monsoon,17,23,5.8,6.7,73,108,Medium,86,61,82,500,1500,100,50,100,13.91,4323,Hard,Asia,Bangladesh
Black Pepper,Peaty,Summer,26,33,5.4,6.8,162,255,High,368,73,90,200,800,120,60,120,0.93,3802,Hard,Nepal,Dhankuta
Chickpea,Sandy,Monsoon,13,26,6.2,7.6,25,68,Low,103,44,70,300,1000,60,30,40,1.27,580,Medium,Asia,Indonesia
Bottle Gourd,Alluvial,Autumn,20,36,6.3,7.3,47,94,High,86,59,90,200,800,90,45,70,23.2,1754,Easy,Nepal,Ilam
Fennel,Red,Winter,8,32,6.1,7.8,17,44,Medium,148,45,68,300,1000,80,40,60,1.1,942,Medium,Nepal,Bara
Cowpea,Laterite,Winter,24,35,6.2,7.4,53,60,Low,98,52,74,200,800,60,30,40,5.75,649,Easy,Asia,Vietnam
Drumstick,Laterite,Spring,25,39,5.7,7.3,57,102,Low,193,51,76,200,800,80,40,60,57.38,2659,Easy,Nepal,Sindhupalchok
Black Pepper,Peaty,Winter,24,33,5.6,6.9,146,259,High,370,73,95,200,800,120,60,120,1.06,4183,Hard,Asia,Sri Lanka
Spinach,Sandy,Spring,8,25,5.8,7.4,23,70,Medium,44,57,84,200,800,80,40,60,12.56,1368,Easy,India,Himachal Pradesh
Coriander,Loamy,Autumn,14,27,6.0,7.2,52,82,Medium,46,56,78,200,800,60,30,40,6.82,827,Easy,Nepal,Mustang
Castor,Black,Monsoon,22,39,6.0,8.0,34,69,Low,186,36,60,200,800,80,40,40,1.71,481,Medium,Nepal,Sindhupalchok
Mustard,Laterite,Autumn,9,23,6.3,7.5,56,117,Low,108,45,70,0,2000,60,40,40,1.34,1096,Easy,India,Haryana
Fenugreek,Silty,Autumn,11,31,5.7,7.4,29,50,Medium,48,45,75,200,800,60,30,40,8.47,939,Easy,Nepal,Bara
Banana,Peaty,Monsoon,22,37,5.7,6.8,101,197,High,323,61,83,200,800,200,100,300,32.83,4064,Medium,Asia,Thailand
Litchi,Sandy,Autumn,18,34,5.3,6.8,93,195,High,111,61,90,200,800,150,80,120,8.09,3360,Medium,Nepal,Ilam
Cotton,Laterite,Monsoon,19,37,6.6,7.8,24,86,Low,180,42,67,200,600,100,50,100,2.47,1425,Medium,Nepal,Kailali
Ginger,Black,Summer,20,35,5.2,6.8,165,298,High,240,69,91,300,1500,80,50,50,20.14,2106,Medium,India,Assam
Ridge Gourd,Loamy,Monsoon,24,33,5.8,7.6,39,89,Medium,61,56,85,200,800,80,40,60,15.15,1622,Easy,Nepal,Bara
Orange,Loamy,Summer,13,34,5.2,7.6,118,220,Medium,179,56,80,500,1500,120,60,100,11.3,2883,Medium,Nepal,Mustang
Orange,Clay,Summer,15,34,5.8,7.4,108,203,Medium,179,59,83,500,1500,120,60,100,13.87,2934,Medium,India,Maharashtra
Fenugreek,Red,Summer,8,30,6.2,7.8,13,74,Medium,44,47,75,200,800,60,30,40,9.13,921,Easy,Nepal,Dhankuta
Kodo Millet,Peaty,Spring,19,34,5.2,7.2,55,108,Low,80,49,70,400,1500,60,30,30,1.13,275,Medium,India,West Bengal
Tomato,Laterite,Winter,17,29,5.7,7.2,61,116,Medium,78,67,83,200,1000,120,60,100,25.51,2887,Medium,Asia,Sri Lanka
Plum,Peaty,Autumn,11,23,6.0,6.9,94,156,Medium,118,59,70,1000,2500,90,45,90,11.4,2403,Hard,Nepal,Sindhupalchok
Sesame,Loamy,Winter,25,35,6.1,7.6,31,69,Low,90,37,69,200,800,60,30,30,0.75,478,Easy,India,Maharashtra
Large Cardamom,Sandy,Autumn,12,25,4.3,6.2,165,338,High,304,75,98,1000,2000,40,40,60,0.77,3653,Hard,India,Andhra Pradesh
Peas,Sandy,Spring,12,27,6.3,7.7,47,74,Medium,78,55,79,300,1200,60,30,40,7.79,1266,Medium,Nepal,Mustang
Large Cardamom,Loamy,Spring,9,25,4.7,6.4,130,354,High,335,78,95,1000,2000,40,40,60,0.59,3720,Hard,India,Maharashtra
Plum,Sandy,Monsoon,10,23,5.8,6.8,70,134,Medium,116,58,80,1000,2500,90,45,90,11.74,2986,Hard,Nepal,Kaski
Brinjal,Red,Spring,18,35,6.1,7.5,78,129,Medium,98,63,90,200,800,120,60,100,24.33,3311,Medium,India,Assam
Strawberry,Silty,Winter,14,24,5.4,7.1,65,132,Medium,83,69,80,500,1500,100,50,100,17.65,5006,Hard,Nepal,Ilam
Maize (Rainfed),Peaty,Winter,19,35,5.6,7.3,82,156,Medium,99,52,75,200,1000,100,50,50,2.08,558,Medium,Nepal,Sindhupalchok
Quinoa,Sandy,Monsoon,15,29,6.2,7.7,39,86,Low,122,41,66,1000,3000,70,35,35,1.2,376,Hard,India,Maharashtra
Red Chili,Silty,Spring,22,34,5.9,7.6,51,100,Medium,123,52,79,300,1000,100,50,80,1.45,2120,Medium,Asia,Vietnam
Millet (Pearl),Laterite,Summer,27,39,6.2,7.9,30,64,Low,74,26,62,200,800,60,30,30,1.24,387,Easy,Nepal,Ilam
Cotton,Clay,Winter,18,35,6.6,8.0,30,86,Low,176,35,70,200,600,100,50,100,2.11,1041,Medium,Nepal,Sindhupalchok
Red Kidney Bean,Sandy,Summer,15,27,5.8,7.3,69,136,Medium,115,60,90,500,1500,70,35,50,1.07,713,Hard,India,Uttar Pradesh
Mustard Greens,Loamy,Summer,9,27,6.0,7.7,48,70,Medium,68,57,71,200,800,80,40,60,10.25,1298,Easy,Nepal,Jhapa
Mustard Greens,Silty,Summer,8,23,6.3,7.6,47,81,Medium,62,57,79,200,800,80,40,60,8.6,965,Easy,Asia,Indonesia
Lentil (Musuro),Laterite,Winter,14,25,5.8,7.3,55,103,Low,127,50,70,0,2000,20,40,20,1.18,1229,Easy,India,Uttar Pradesh
Quinoa,Laterite,Monsoon,15,32,6.2,7.7,53,101,Low,128,41,75,1000,3000,70,35,35,1.24,377,Hard,Nepal,Morang
Little Millet,Peaty,Autumn,21,37,5.3,7.3,47,102,Low,77,37,65,400,1500,60,30,30,1.37,274,Medium,Nepal,Ilam
Coriander,Peaty,Summer,17,24,5.9,7.3,24,85,Medium,59,58,77,200,800,60,30,40,6.89,738,Easy,Nepal,Dhankuta
Cabbage,Red,Autumn,17,24,6.1,7.1,44,86,High,71,64,85,200,800,140,70,110,23.14,2317,Medium,Nepal,Bara
Fenugreek Seed,Red,Spring,12,28,5.9,7.3,24,45,Medium,93,47,72,300,1000,60,30,30,0.94,599,Medium,Nepal,Jhapa
Pineapple,Peaty,Autumn,19,29,4.2,6.8,66,169,Medium,186,68,80,200,800,120,60,120,21.6,2763,Medium,India,Uttar Pradesh
Finger Millet,Black,Autumn,16,29,5.2,7.6,67,121,Low,107,50,70,500,2000,70,35,35,1.4,390,Medium,Nepal,Bara
Linseed,Black,Summer,12,24,6.1,7.1,40,73,Low,125,40,60,300,1000,60,30,30,0.88,626,Medium,Nepal,Kaski
Horse Gram,Red,Autumn,18,37,5.7,7.7,36,65,Low,119,42,70,300,1000,40,20,25,0.84,430,Easy,India,Tamil Nadu
Fennel,Clay,Spring,9,30,6.3,7.2,45,57,Medium,144,48,71,300,1000,80,40,60,0.91,953,Medium,Nepal,Kaski
Castor,Sandy,Autumn,20,42,6.1,8.0,39,62,Low,188,40,65,200,800,80,40,40,1.28,559,Medium,Nepal,Dhankuta
Black Pepper,Red,Spring,25,37,5.4,7.1,135,270,High,375,71,85,200,800,120,60,120,0.99,3330,Hard,Nepal,Ilam
Green Beans,Laterite,Monsoon,19,29,5.9,7.7,40,98,Medium,81,58,83,200,1000,70,35,50,8.97,1382,Medium,Nepal,Sindhupalchok
Kodo Millet,Black,Winter,20,37,5.7,7.5,48,93,Low,95,50,72,400,1500,60,30,30,1.29,299,Medium,Asia,Sri Lanka
Mustard Greens,Laterite,Autumn,9,27,6.2,7.6,41,81,Medium,60,56,71,200,800,80,40,60,9.76,927,Easy,Asia,Sri Lanka
Tea,Sandy,Monsoon,12,30,4.4,5.2,211,385,High,365,80,100,500,2000,120,60,60,2.49,1814,Medium,Nepal,Ilam
Kodo Millet,Red,Autumn,18,36,5.5,7.5,31,102,Low,94,47,73,400,1500,60,30,30,1.4,315,Medium,Asia,Indonesia
Chickpea,Alluvial,Spring,15,27,6.1,7.6,42,73,Low,107,41,63,300,1000,60,30,40,1.29,818,Medium,Nepal,Kailali
Jackfruit,Clay,Autumn,26,34,5.5,7.3,116,217,Medium,174,61,88,200,800,100,50,100,17.53,2885,Easy,Asia,Bangladesh
Pigeon Pea,Clay,Monsoon,22,35,6.1,7.6,59,67,Low,182,40,75,300,1000,60,30,40,1.33,727,Medium,Nepal,Mustang
Lemon,Loamy,Winter,19,34,5.7,7.4,67,156,Medium,113,53,78,200,1000,100,50,80,14.94,1602,Easy,Nepal,Jhapa
Tobacco,Laterite,Monsoon,13,28,5.5,7.6,47,60,Medium,126,49,74,300,1000,120,60,120,1.88,2926,Hard,India,West Bengal
Broccoli,Black,Autumn,13,25,6.0,6.9,52,120,High,79,62,84,300,1200,130,65,100,10.82,2795,Hard,India,Uttar Pradesh
Lentil (Musuro),Sandy,Spring,15,25,6.2,7.2,21,117,Low,123,53,69,0,2000,20,40,20,1.24,928,Easy,India,Himachal Pradesh
Rice (Jhum),Peaty,Summer,21,37,5.4,7.2,113,196,Medium,125,67,81,500,1500,80,40,40,2.67,529,Hard,Asia,Vietnam
Red Chili,Red,Monsoon,22,37,6.3,7.6,41,128,Medium,129,60,79,300,1000,100,50,80,1.51,1481,Medium,Nepal,Kailali
Bottle Gourd,Red,Spring,21,33,5.7,7.7,47,84,High,99,60,84,200,800,90,45,70,29.77,2117,Easy,Nepal,Chitwan
Bottle Gourd,Red,Spring,21,33,6.2,7.2,63,88,High,83,57,89,200,800,90,45,70,22.59,2085,Easy,India,Uttar Pradesh
Apple (Mustang),Peaty,Autumn,6,27,5.4,7.1,86,101,Medium,235,63,79,2000,3500,50,30,70,10.24,4754,Hard,Nepal,Ilam
Black Gram,Red,Monsoon,25,37,6.1,7.6,34,92,Medium,87,54,70,200,800,50,25,30,1.0,489,Easy,Nepal,Gulmi
Watermelon,Red,Autumn,24,36,5.8,7.7,52,83,Medium,99,51,72,200,800,100,50,100,33.23,2496,Easy,India,Gujarat
Walnut,Sandy,Spring,3,27,6.2,7.4,95,144,Medium,178,49,71,1500,3000,100,50,100,5.04,3550,Hard,Asia,Vietnam
Horse Gram,Alluvial,Winter,19,36,5.2,7.4,26,71,Low,110,35,70,300,1000,40,20,25,0.82,426,Easy,Asia,Bangladesh
Peas,Alluvial,Winter,11,26,6.2,7.2,21,68,Medium,69,55,77,300,1200,60,30,40,9.15,1381,Medium,Asia,Thailand
Buckwheat (Phapar),Peaty,Monsoon,9,27,4.8,6.7,60,103,Low,72,53,70,2000,4000,20,20,20,1.97,683,Easy,Asia,Bangladesh
Chickpea,Alluvial,Spring,17,25,6.3,7.4,12,80,Low,91,35,62,300,1000,60,30,40,1.35,562,Medium,Asia,Bangladesh
Papaya,Laterite,Autumn,21,34,6.2,7.2,87,151,Medium,269,56,89,200,800,150,80,150,42.9,3248,Easy,Asia,Indonesia
